Gmt time,Open,High,Low,Close,Volume
24.07.2021 00:00:00.000,1.17683,1.17683,1.17683,1.17683,0
25.07.2021 00:00:00.000,1.17681,1.17743,1.17671,1.17728,1805.3745
26.07.2021 00:00:00.000,1.17729,1.18172,1.17632,1.18047,74770.1979
27.07.2021 00:00:00.000,1.18046,1.18409,1.17698,1.18203,70108.2951
28.07.2021 00:00:00.000,1.18205,1.18494,1.17721,1.18454,95631.14940000001
29.07.2021 00:00:00.000,1.18453,1.18942,1.18406,1.18903,65088.6304
30.07.2021 00:00:00.000,1.18902,1.19085,1.18515,1.18667,78399.0502
31.07.2021 00:00:00.000,1.18667,1.18667,1.18667,1.18667,0
01.08.2021 00:00:00.000,1.18641,1.18694,1.18621,1.18661,1640.0225
02.08.2021 00:00:00.000,1.18662,1.18968,1.18587,1.18740,65757.14519999998
03.08.2021 00:00:00.000,1.18738,1.18932,1.18535,1.18694,60676.2496
04.08.2021 00:00:00.000,1.18693,1.18996,1.18326,1.18371,59235.19510000001
05.08.2021 00:00:00.000,1.18373,1.18572,1.18280,1.18332,52814.6904
06.08.2021 00:00:00.000,1.18332,1.18333,1.17543,1.17596,55120.82950000001
07.08.2021 00:00:00.000,1.17596,1.17596,1.17596,1.17596,0
08.08.2021 00:00:00.000,1.17580,1.17610,1.17422,1.17474,6173.8
09.08.2021 00:00:00.000,1.17477,1.17689,1.17344,1.17360,48502.48010000001
10.08.2021 00:00:00.000,1.17359,1.17427,1.17095,1.17195,75410.47970000001
11.08.2021 00:00:00.000,1.17195,1.17541,1.17059,1.17417,61035.420200000015
12.08.2021 00:00:00.000,1.17415,1.17481,1.17236,1.17356,45681.19020000001
13.08.2021 00:00:00.000,1.17357,1.18045,1.17302,1.17933,42818.650100000006
14.08.2021 00:00:00.000,1.17933,1.17933,1.17933,1.17933,0
15.08.2021 00:00:00.000,1.17934,1.18007,1.17915,1.17940,2797.23
16.08.2021 00:00:00.000,1.17939,1.18006,1.17672,1.17776,43659.3099
17.08.2021 00:00:00.000,1.17776,1.17846,1.17017,1.17091,59330.869900000005
18.08.2021 00:00:00.000,1.17092,1.17427,1.16936,1.17026,59219.2201
19.08.2021 00:00:00.000,1.17027,1.17041,1.16656,1.16763,63221.7902
20.08.2021 00:00:00.000,1.16762,1.17044,1.16638,1.16951,50357.1851
21.08.2021 00:00:00.000,1.16951,1.16951,1.16951,1.16951,0
22.08.2021 00:00:00.000,1.16935,1.17008,1.16925,1.16968,3915.91
23.08.2021 00:00:00.000,1.16969,1.17501,1.16950,1.17441,55610.9997
24.08.2021 00:00:00.000,1.17439,1.17650,1.17272,1.17526,47142.495
25.08.2021 00:00:00.000,1.17527,1.17745,1.17260,1.17717,59247.810099999995
26.08.2021 00:00:00.000,1.17716,1.17789,1.17458,1.17533,64898.4979
27.08.2021 00:00:00.000,1.17534,1.18022,1.17348,1.17910,90960.7913
28.08.2021 00:00:00.000,1.17910,1.17910,1.17910,1.17910,0
29.08.2021 00:00:00.000,1.17937,1.18003,1.17898,1.17983,1418.27
30.08.2021 00:00:00.000,1.17982,1.18097,1.17827,1.17965,54548.620200000005
31.08.2021 00:00:00.000,1.17961,1.18450,1.17952,1.18098,66283.82969999999
01.09.2021 00:00:00.000,1.18098,1.18571,1.17935,1.18407,63143.89479999999
02.09.2021 00:00:00.000,1.18407,1.18760,1.18342,1.18736,49871.00020000001
03.09.2021 00:00:00.000,1.18736,1.19090,1.18655,1.18773,71338.22990000002
04.09.2021 00:00:00.000,1.18773,1.18773,1.18773,1.18773,0
05.09.2021 00:00:00.000,1.18760,1.18862,1.18760,1.18854,1582.2399999999998
